question_id,answer_type,definition_1,definition_2,definition_3,definition_4,definition_5,definition_6,definition_7,definition_8,grouping,question_type,question
post6_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,I like the challenge of engaging in science communication.
post6_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,Engaging in science communication is appealing.
post6_6,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,I find science communication to be boring.
post6_7,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Sci Comm,Feelings Toward Sci Comm,I enjoy learning about science communication from experts.
prepost10,Scale,Not at all good,,,,Very good,,,,Sci Comm,Perceived Sci Comm Ability,How good are you at science communication? 
prepost11,Scale,They do not understand the science at all.,,,,They understand the science nearly perfectly.,,,,Sci Comm,Perceived Sci Comm Ability,How well does the public understand your science when you communicate it to them?
prepost12,Scale,One of the best.,,,,On of the worst.,,,,Sci Comm,Perceived Sci Comm Ability,"If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? "
prepost13,Scale,The trainings have prepared me to engage in science communication.,,,,The trainings have not prepared me to engage in science communication. ,,,,Sci Comm,Perceived Sci Comm Ability,Think about the classes and professional development training you have had in the past. How good of a job did they prepare you to engage in science communication?
prepost15,Scale,Very comfortable,Somewhat comfortable,A little comfortable,Not at all comfortable,,,,,Sci Comm,Communication Confidence,How comfortable do you feel presenting to groups?
prepost16,Scale,A lot,Some ,A little,Not at all,,,,,Sci Comm,Communication Confidence,How much do you like presenting to groups?
prepost17,Scale,A lot,Some ,A little,Not at all,,,,,Sci Comm,Communication Confidence,How much do you feel you're a role model?
prepost18,Scale,Very confident,Somewhat confident,A little confident,Not at all confident,,,,,Sci Comm,Communication Confidence,How confident are you in working with kids?
prepost19,Scale,Never,,,,Very often,,,,Sci Comm,Echo Chambers,"In general, how often do members of the public ask you about science? "
prepost20,Scale,Different from me,,,,Similar to me,,,,Sci Comm,Echo Chambers,How would you describe the people who do ask you questions about science? 
prepost21,Scale,They have a variety of attitudes and beliefs that differ from my own.,,,,They share similar attitudes and beliefs to me.,,,,Sci Comm,Echo Chambers,Think about the people who you talk to about science. How would you describe these people?
prepost22,Scale,Never,,,,Very often,,,,Sci Comm,Echo Chambers,How often do you engage the public in discussions about science?
prepost23,Scale,People who have values and attitudes that differ from mine.,,,,People who have values and attitudes similar to mine.,,,,Sci Comm,Echo Chambers,Consider the groups of people you spend time with socially. How would you describe them?
prepost24,Scale,People who have values and attitudes that differ from mine.,,,,People who have values and attitudes similar to mine.,,,,Sci Comm,Echo Chambers,Think about times you have delivered presentations related to science. How would you generally describe your audience?
prepost29,Scale,None at all,A little,A moderate amount,A lot,A great deal,,,,Sci Comm,Science Identity,How much do you think you are a science kind of person?
prepost30,Scale,None at all,A little,A moderate amount,A lot,A great deal,,,,Sci Comm,Science Identity,How much do others think you are a science kind of person?
prepost31,Scale,Excellent,Good,Fair,Poor,,,,,Sci Comm,Science Identity,How good are you at science?
prepost32,Scale,None at all,A little,A moderate amount,A lot,A great deal,,,,Sci Comm,Science Identity,"When you were younger, how much did you want to become a scientist? "
prepost33,Scale,None at all,A little,A moderate amount,A lot,A great deal,,,,Sci Comm,Science Identity,How much do you like learning about new discoveries?
prepost34,Scale,A lot,Some,A little,Not at all,,,,,Sci Comm,Science Identity,"How much, if at all, do you want to become a scientist? "
prepost35,Scale,Very important,Somewhat important,A little important,Not at all important,,,,,Sci Comm,Science Identity,How important is science to your future career?
prepost36,Scale,Very interested,Somewhat interested,A little interested,Not at all interested,,,,,Sci Comm,Science Identity,How interested are you in pursuing a career in education?
post27,Level of Agreement,Strongly disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,,Spider,Change in Attitude Toward Spiders,Participating in these workshops and activities has changed my attitudes toward spiders.
prepost26_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,I would like to read more about spiders.
prepost26_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,I would like to know more about spiders.
prepost26_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,I would like to know more about how scientists study spiders.
prepost26_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,Greater attention should be given to spider protection.
prepost26_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,Spiders are interesting animals.
prepost26_6,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,People should use fewer chemicals in order to allow spiders to live.
prepost26_7,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Spider,Spider Curiosity,I would like to watch a spider constructing its web.
prepost25_1,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I avoid going to parks or on camping trips because there may be spiders about.
prepost25_10,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I feel sick when I see a spider.
prepost25_11,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I shudder when I think of spiders.
prepost25_12,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,The way spiders move is repulsive.
prepost25_13,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,If I came upon a spider while cleaning the attic I would probably run.
prepost25_14,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I would prefer not to finish a story if something about spiders was introduced into the plot.
prepost25_15,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,"Even if I was late for a very important appointment, the thought of spiders would stop me from taking a shortcut through an underpass."" "
prepost25_2,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I would feel some anxiety holding a toy spider in my hand.
prepost25_3,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I dislike looking at pictures of spiders in a magazine. 
prepost25_4,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire," If there is a spider on the ceiling over my bed, I cannot go to sleep unless someone kills it for me."
prepost25_5,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I am terrified by the thought of touching a harmless spider.
prepost25_6,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,"If someone says that there are spiders anywhere about, I become alert and edgy."
prepost25_7,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I would not go down to the basement to get something if I thought there might be spiders down there.
prepost25_8,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,I would feel uncomfortable if a spider crawled out of my shoe as I took it out of the closet to put it on.
prepost25_9,Yes/No,TRUE,FALSE,,,,,,,Spider,Spider Phobia Questionaire,"When I see a spider, I feel tense and restless."
eval3_5_post_51,Yes/No,Yes,No,,,,,,,,Arachnid Experience,"Have you taken an arachnology course (e.g., UNL's BIOS 480/880)?"
eval3_6_post_52,Yes/No,Yes,No,,,,,,,,Arachnid Experience,"Have you participated in arachnid-related research (e.g., as part of an undergraduate or graduate research project)?"
prepost38,Factor,University of Nebraska-Lincoln,University of Nebraska-Omaha,University of Nebraska-Kearney,Other,,,,,,Demographics,What institution do you attend? - Selected Choice.
prepost39,Factor,Freshman/first-year,Sophomore,Junior,Senior,Master's Student,Doctoral Student,,Other,,Demographics,What is your classification in college? - Selected Choice.
prepost41,Factor,Male,Female,Non-binary/third gender,Prefer not to say,,,,,,Demographics,How would you describe your gender?
prepost45,Factor,Very liberal,Liberal,Somewhat liberal,Moderate,Somewhat conservative,Conservative,Very conservative,,,Demographics,"In general, how would you describe your political views?"
prepost46,Factor,Republican,Democrat,Independent,Other,,,,,,Demographics,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice."
prepost38_text,User Entered Phrase,,,,,,,,,,Demographics,What institution do you attend? - Other - Text.
prepost39_text,User Entered Phrase,,,,,,,,,,Demographics,What is your classification in college? - Other - Text.
prepost40,User Entered Phrase,,,,,,,,,,Demographics,What is your academic major(s)?
prepost42_text,User Entered Phrase,,,,,,,,,,Demographics,"Which category(ies) best describes your race(s)? Select more than one if applicable. - Some other race, ethnicity, or orgin - Text."
prepost46_text,User Entered Phrase,,,,,,,,,,Demographics,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text."
prepost43,Year,,,,,,,,,,Demographics,What year were you born?
prepost42_1,Yes/No,Asian,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Asian.
prepost42_2,Yes/No,Black or African American,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Black or African American.
prepost42_3,Yes/No,White,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice White.
prepost42_4,Yes/No,"Hispanic, Latino, or Spanish origin",,,,,,,,,Demographics,"Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Hispanic, Latino, or Spanish origin."
prepost42_6,Yes/No,"Some other race, ethnicity, or origin",,,,,,,,,Demographics,"Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Some other race, ethnicity, or orgin."
prepost42_7,Yes/No,American Indian or Alaska Native,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice American Indian or Alaska Native.
prepost42_8,Yes/No,Middle Eastern or North African,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Middle Eastern or North African. 
prepost42_9,Yes/No,Native Hawaiian or Other Pacific Islander,,,,,,,,,Demographics,Which category(ies) best describes your race(s)? Select more than one if applicable. - Selected Choice Native Hawaiin or Other Pacific Islander.
prepost44,Yes/No,Yes,No,,,,,,,,Demographics,Did one or more of your parents graduate from a four-year college?
eval1_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to define 'science communication'.
eval1_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to identify some of the challenges of communicating about science.
eval1_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to understand the importance of identifying target audiences for science communication. 
eval1_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to tailor messages about science that consider the target audience.
eval1_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to understand the impact of effective communication about science.
eval2_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to describe challenges related to science communication on online platforms.
eval2_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to identify a target audience for communicating science online.
eval2_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,"I am able to communicate science in different contexts online (e.g., Twitter, blog posts)."
eval2_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to communicate science in ways that are visually appealing to my target audience.
eval2_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to develop a social media strategy to communicate science.
eval3_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to explain similarities between informal and formal science education.
eval3_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to align my science communication goals with appropriate environments and audiences.
eval3_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to assess the strengths and weaknesses of informal science learning programs.
eval3_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,"I am able to facilitate the informal science learning event, Eight-Legged Encounters."
eval3_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to reflect upon and learn from informal science education experiences.
eval4_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.
eval4_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to develop after-school club activities with YPQA in mind.
eval4_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to communicate science concepts in a way youth will understand.
eval4_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to develop science-related activities for after-school program clubs that will be engaging for youth.
eval4_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,,Module Efficacy,I am able to use techniques to ensure youth engagement throughout after-school club activities.
participation1,Yes/No,Yes,,,,,,,,,Participation,"Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication"" "
participation2,Yes/No,Yes,,,,,,,,,Participation,Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.
participation3,Yes/No,Yes,,,,,,,,,Participation, Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.
participation4,Yes/No,Yes,,,,,,,,,Participation,Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).
participation5,Yes/No,Yes,,,,,,,,,Participation,Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.
prepost3_1,Yes/No,Yes,,,,,,,,,Sci Comm Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. Science communication."
prepost3_2,Yes/No,Yes,,,,,,,,,Sci Comm Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. Informal science learning."
prepost3_3,Yes/No,Yes,,,,,,,,,Sci Comm Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. After-school STEM education."
prepost4_1,User Entered Phrase,,,,,,,,,,Wordle,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #1"" "
prepost4_2,User Entered Phrase,,,,,,,,,,Wordle,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #2"" "
prepost4_3,User Entered Phrase,,,,,,,,,,Wordle,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #3"" "
