"recipient_id","iteration","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","pre_answer","post_answer","ele"
47,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
47,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
68,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
26,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
57,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
5,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
40,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
71,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
71,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
71,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
71,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
48,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
48,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
32,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
32,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
32,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
32,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
32,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
60,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
60,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
60,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
60,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
60,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
49,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
53,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
55,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
55,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
65,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,0
65,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
65,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
87,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
87,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
87,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
87,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
87,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
87,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
43,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,0
43,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
103,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
85,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
85,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
85,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
85,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
82,"Fall 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,1
82,"Fall 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
82,"Fall 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
82,"Fall 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
82,"Fall 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",1,3,1
82,"Fall 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,1
82,"Fall 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,1
15,"Fall 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
25,"Fall 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
25,"Fall 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
41,"Fall 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
41,"Fall 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
21,"Fall 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
86,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
52,"Spring 2023","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
75,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
75,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,0
75,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,0
64,"Spring 2023","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
84,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",2,3,1
84,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
23,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,3,1
23,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
78,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
78,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
78,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
78,"Spring 2023","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,3,1
2,"Spring 2023","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
33,"Spring 2023","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
33,"Spring 2023","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,3,1
33,"Spring 2023","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
33,"Spring 2023","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,3,1
47,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
47,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
47,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
68,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
68,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
68,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
68,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
68,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
58,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
26,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
26,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
26,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
26,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
26,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
26,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
57,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
57,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
57,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
57,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
5,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
5,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
5,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
5,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
5,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
5,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
40,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
40,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
40,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
40,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
40,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
71,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
71,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
71,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
48,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
48,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
48,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,0
1,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
1,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
1,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
1,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
1,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
1,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
1,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
32,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
32,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,1
73,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
73,"Spring 2022","prepost26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
73,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
73,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5,4,1
73,"Spring 2022","prepost26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,1
60,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3,4,0
60,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
66,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
66,"Spring 2022","prepost26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
66,"Spring 2022","prepost26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
66,"Spring 2022","prepost26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
66,"Spring 2022","prepost26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
49,"Spring 2022","prepost26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4,4,0
