"recipient_id","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","definition6","definition7","answer","ele","arachnid_research","arachnid_course"
33,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5,1,0,0
24,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
68,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
57,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
40,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
36,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
38,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
55,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
45,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,1,1
30,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,1,0
81,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
15,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
93,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
41,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,0,0,0
86,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
108,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,0,0,0
46,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
51,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
34,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
84,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
23,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6,1,0,0
61,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
83,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
67,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
11,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
28,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
89,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7,1,0,0
62,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL,0,0,0
76,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL,1,0,0
