"recipient_id","question_id","question","answer_type","definition1","definition2","definition3","definition4","definition5","definition6","definition7","answer","ele","scicomm","isl","after_school"
106,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,0,1,0
108,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,0,1,0,0
46,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,1
88,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,1,0
4,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
28,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,1,1
34,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
23,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
78,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,1,0,0
89,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,5,1,0,0,0
62,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,0,0,0,1
76,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,1,1,1,0
27,"post28","After participating in the training and events, how much more or less interested are you in conveying science to the general public?","Level of Agreement","Much less interested","A little interested","The same","A little more interested","Much more interested",NULL,NULL,NULL,0,1,1,0
